,,,,,,,,
,Yacht,GT,NT,LOA (m),Reg. Length (m),Beam (m),Draft (m),Air Draft (m)
,yacht_1,52.920,52.920,23.980,21.590,5.950,2.500,0.000
,yacht_2-1,51.900,51.900,18.900,18.900,10.000,1.550,32.000
,yacht_2-2,51.900,51.900,18.900,18.900,10.000,2.880,32.000
,yacht_2-3,51.900,51.900,18.900,18.900,10.000,2.880,32.000
,yacht_3,206.000,61.000,36.500,29.400,8.100,4.000,42.000
,yacht_4,2407.000,722.000,77.400,70.140,13.630,7.200,25.000
,yacht_5,98.000,29.000,33.000,28.600,7.100,3.700,40.000
,yacht_6,2149.000,644.000,79.200,65.780,13.250,4.200,26.000
,yacht_7,161.840,,28.580,23.970,13.300,2.143,14.000
,yacht_8,658.000,197.000,50.000,44.310,9.350,3.100,16.500
,yacht_9,95.000,95.000,23.960,23.960,12.220,2.134,
,yacht_10,497.000,149.000,53.250,50.880,9.200,3.050,17.000
,yacht_11,1143.000,342.000,60.200,56.800,11.000,3.700,19.700
,yacht_12,143.000,43.000,34.990,33.470,8.000,4.000,49.000
,yacht_13,496.000,148.000,46.960,41.620,9.270,3.560,
,yacht_14,99.000,34.000,30.020,30.020,6.700,4.000,44.000
,yacht_15,138.000,41.000,31.590,28.910,6.020,3.000,15.000
,yacht_16,1161.000,348.000,62.500,56.030,10.300,3.500,
,yacht_17,0.000,,24.850,22.140,6.220,2.840,
,,,,,,,,
,,,,,,,,
